inc.prob,exc.prob.low,exc.prob.high,trueNb
0.4,0.12,0.25,50

Low.mean,Low.error,High.mean,High.error,avg.low.exc.fam,low.fam.error,low.fam.n,avg.high.exc.fam,high.fam.error,high.fam.n,Success.rate
27.54,0.899860254323326,78.24,1.51078221539958,1.13394683026585,0.0109300561220322,3912,1.2883079157589,0.0248482225871141,1377,1

non.sib.error,half.sib.error,split.fam.error
0.00756143667296786,0.101869355177484,0.182734719596723
non.sibs,half.sibs,full.sibs,singletons,split.families,total
36,485,8,4431,870,4761

Est.Low,Est.High,successes
28,86,1
28,76,1
28,82,1
30,80,1
30,88,1
28,76,1
20,74,1
22,86,1
24,88,1
26,84,1
30,76,1
22,74,1
30,86,1
28,82,1
26,76,1
30,92,1
36,88,1
30,88,1
36,88,1
30,82,1
30,78,1
28,84,1
32,82,1
28,80,1
30,80,1
30,88,1
22,80,1
26,84,1
16,68,1
34,84,1
26,86,1
30,76,1
24,84,1
24,64,1
36,88,1
30,72,1
28,74,1
24,76,1
30,70,1
30,92,1
26,72,1
28,78,1
34,88,1
28,68,1
22,80,1
34,88,1
26,72,1
28,82,1
30,74,1
30,90,1
22,76,1
14,76,1
22,70,1
32,82,1
22,78,1
28,68,1
20,76,1
22,70,1
26,68,1
34,72,1
32,76,1
34,86,1
32,84,1
22,86,1
22,70,1
26,80,1
26,80,1
32,82,1
34,86,1
30,86,1
26,78,1
36,80,1
24,66,1
26,82,1
26,84,1
24,66,1
22,62,1
24,76,1
30,86,1
36,92,1
26,76,1
30,76,1
26,66,1
24,70,1
32,70,1
26,82,1
24,60,1
34,68,1
22,82,1
36,84,1
28,64,1
28,70,1
22,64,1
26,66,1
18,76,1
28,68,1
28,88,1
22,76,1
32,84,1
30,76,1
