inc.prob,exc.prob.low,exc.prob.high,trueNb
0.4,0.12,0.25,10

Low.mean,Low.error,High.mean,High.error,avg.low.exc.fam,low.fam.error,low.fam.n,avg.high.exc.fam,high.fam.error,high.fam.n,Success.rate
3.38,0.355423397202985,18.72,0.750650414341744,1.80021367521368,0.0699787839662559,936,1.51479289940828,0.1337479723965,169,0.99

non.sib.error,half.sib.error,split.fam.error
0,0.0600591715976331,0.961242603550296
non.sibs,half.sibs,full.sibs,singletons,split.families,total
0,203,922,2656,3249,3380

Est.Low,Est.High,successes
4,18,1
2,22,1
2,14,1
0,16,1
4,20,1
2,22,1
2,10,1
2,22,1
4,18,1
6,20,1
2,18,1
4,18,1
6,22,1
2,12,1
4,16,1
2,12,1
4,18,1
4,18,1
4,22,1
2,22,1
6,22,1
6,18,1
2,20,1
4,22,1
2,20,1
4,18,1
4,16,1
6,24,1
4,20,1
2,22,1
6,22,1
2,22,1
2,18,1
6,22,1
2,12,1
6,22,1
6,20,1
6,20,1
6,20,1
6,20,1
2,22,1
2,22,1
2,22,1
2,22,1
4,22,1
2,24,1
2,22,1
4,22,1
4,18,1
2,10,1
4,18,1
2,16,1
2,18,1
6,22,1
8,22,1
2,20,1
2,22,1
2,14,1
2,24,1
2,20,1
2,12,1
2,20,1
6,20,1
2,12,1
2,8,0
2,12,1
6,20,1
0,16,1
2,10,1
4,22,1
2,24,1
0,16,1
2,12,1
4,18,1
4,18,1
2,20,1
2,16,1
6,20,1
6,22,1
6,22,1
6,20,1
6,20,1
2,20,1
2,16,1
2,16,1
2,14,1
2,12,1
4,20,1
6,20,1
2,12,1
4,22,1
6,22,1
2,18,1
0,16,1
4,20,1
4,16,1
2,22,1
4,18,1
2,28,1
6,18,1
