inc.prob,exc.prob.low,exc.prob.high,trueNb
0.4,0.12,0.25,31

Low.mean,Low.error,High.mean,High.error,avg.low.exc.fam,low.fam.error,low.fam.n,avg.high.exc.fam,high.fam.error,high.fam.n,Success.rate
16.96,0.461059912004375,57.64,0.660127927148402,1.30083275503123,0.0200877843705076,2882,1.49528301886792,0.0338295483873346,848,1

non.sib.error,half.sib.error,split.fam.error
0,0,0.576254826254826
non.sibs,half.sibs,full.sibs,singletons,split.families,total
0,0,1170,3018,2388,4144

Est.Low,Est.High,successes
16,56,1
22,62,1
18,62,1
16,58,1
16,54,1
16,56,1
16,58,1
14,60,1
16,58,1
16,60,1
20,54,1
16,54,1
18,66,1
18,58,1
16,56,1
18,62,1
18,58,1
16,58,1
18,56,1
22,54,1
20,64,1
16,56,1
16,60,1
16,58,1
16,54,1
18,60,1
14,58,1
22,50,1
16,60,1
16,56,1
16,56,1
14,58,1
14,56,1
22,60,1
16,56,1
16,58,1
14,56,1
18,58,1
22,60,1
16,58,1
16,54,1
16,58,1
20,66,1
16,60,1
16,60,1
18,58,1
16,56,1
20,60,1
18,62,1
16,54,1
16,60,1
14,52,1
24,64,1
12,54,1
20,66,1
16,56,1
16,56,1
20,58,1
18,58,1
16,54,1
16,54,1
16,56,1
16,56,1
14,60,1
16,56,1
16,56,1
16,56,1
16,56,1
20,64,1
18,60,1
16,54,1
18,58,1
14,60,1
16,56,1
16,58,1
14,54,1
16,56,1
16,58,1
22,54,1
16,60,1
16,56,1
16,56,1
16,58,1
20,54,1
16,56,1
14,52,1
18,66,1
16,56,1
16,54,1
16,58,1
24,64,1
14,56,1
18,58,1
18,60,1
16,54,1
18,62,1
22,62,1
16,58,1
14,50,1
16,54,1
